LegID,LegType,LegRtType,LegSpeed,LegWidth,NumLanes,MergeLanes,PaveType,MedType,MedWidth,LegTCType,LTLanes,LTWidth,LTLnLength,LTOffset,RTLanes,RTWidth,RTLnLength,RTChannel,RTMoveCtrl,PedCross,Rumble,OneWay,TurnProhib,SightLt,SightRt,IntCat,AreaType,NumberLegs,IntTCType,Lighting,Terrain,Offset,OffsetDist,SkewAngle,NextPIDist,AADT,IntAADT,5YrCrashCount,1YrCrashCount
100791_1,1,1,55,27,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,2,2,0,2,325,7330,7330,2,0.4
100791_2,1,1,55,27,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,2,2,0,2,325,7330,7330,1,0.2
100791_3,2,5,25,22,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,2,2,0,2,325,<Null>,7330,0,0
100791_4,2,5,25,23,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,2,2,0,2,325,<Null>,7330,0,0
102300_1,1,1,55,25,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,3,1,1,3,1,2,2,2,0,2,325,7330,7330,0,0
102300_2,1,1,55,25,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,3,2,1,1,3,1,2,2,2,0,2,325,7330,7330,0,0
102300_3,2,5,25,22,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,1,1,3,1,2,2,2,0,2,325,<Null>,7330,0,0
110871_1,1,1,55,50,3,0,1,1,0,1,0,0,0,0,1,13,145,1,1,1,2,2,1,2,2,4,1,4,2,2,2,1,11,3,691,7920,7920,0,0
110871_2,1,1,55,38,3,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,4,1,4,2,2,2,1,11,3,691,7920,7920,5,1
110871_3,2,3,25,17,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,4,1,4,2,2,2,1,11,3,691,<Null>,7920,0,0
110871_4,2,4,25,17,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,4,1,4,2,2,2,1,11,3,691,<Null>,7920,0,0
111200_1,1,1,35,27,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,2,2,2,1,2,2,6,2,4,2,1,1,2,0,2,294,18130,18130,2,0.4
111200_2,1,1,35,27,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,2,2,2,1,2,2,6,2,4,2,1,1,2,0,2,294,18130,18130,0,0
111200_3,2,4,25,31,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,2,2,2,1,2,2,6,2,4,2,1,1,2,0,2,294,<Null>,18130,0,0
111200_4,2,4,25,31,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,2,2,2,1,2,2,6,2,4,2,1,1,2,0,2,294,<Null>,18130,0,0
111989_1,1,1,35,26,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,3,5,2,3,1,1,1,2,0,4,400,14110,14110,0,0
111989_2,1,1,35,26,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,3,2,5,2,3,1,1,1,2,0,4,400,14110,14110,1,0.2
111989_3,2,4,25,19,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,5,2,3,1,1,1,2,0,4,400,<Null>,14110,0,0
113829_1,1,1,55,55,2,0,1,3,12,1,0,0,0,0,1,20,394,3,3,1,2,2,1,3,2,3,1,3,1,2,2,2,0,3,820,7920,7920,4,0.8
113829_2,1,1,55,52,2,1,1,1,0,1,1,17,301,0,0,0,0,1,1,1,2,2,1,2,3,3,1,3,1,2,2,2,0,3,820,7920,7920,3,0.6
113829_3,2,3,25,36,1,0,1,1,0,2,1,12,339,0,1,20,339,2,2,1,2,2,1,2,2,3,1,3,1,2,2,2,0,3,820,1500,7920,3,0.6
115088_1,1,1,55,25,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,2,1,12,15,1326,4890,4890,0,0
115088_2,1,1,55,25,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,1,2,1,4,2,2,2,1,12,15,1326,4890,4890,0,0
115088_3,2,4,25,18,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,2,1,12,15,1326,<Null>,4890,0,0
115088_4,2,4,25,12,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,2,1,12,15,1326,<Null>,4890,0,0
116365_1,1,1,55,24,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,2,1,14,13,1588,1370,1370,0,0
116365_2,1,1,55,24,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,2,1,14,13,1588,1370,1370,0,0
116365_3,2,3,25,22,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,2,1,14,13,1588,308,1370,0,0
116365_4,2,3,25,22,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,2,1,14,13,1588,308,1370,0,0
119402_1,1,1,45,40,2,0,1,1,0,1,1,12,108,0,0,0,0,1,1,1,2,2,1,2,2,6,2,4,2,1,2,1,11,37,365,11570,11570,4,0.8
119402_2,1,1,45,36,2,0,1,3,11,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,6,2,4,2,1,2,1,11,37,365,11570,11570,1,0.2
119402_3,2,5,35,22,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,6,2,4,2,1,2,1,11,37,365,2560,11570,1,0.2
119402_4,2,5,35,22,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,2,2,2,1,2,2,6,2,4,2,1,2,1,11,37,365,2560,11570,4,0.8
120600_1,1,1,45,37,2,0,1,1,0,1,1,13,112,0,0,0,0,1,1,1,2,2,1,2,3,5,2,3,1,1,2,2,0,5,408,13780,13780,2,0.4
120600_2,1,1,45,39,2,0,1,4,17,1,0,0,0,0,0,0,0,1,1,1,2,2,1,3,2,5,2,3,1,1,2,2,0,5,408,13780,13780,2,0.4
120600_3,2,5,15,28,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,5,2,3,1,1,2,2,0,5,408,<Null>,13780,0,0
120958_1,1,1,45,40,2,0,1,4,13,1,0,0,0,0,0,0,0,1,1,1,2,2,1,3,2,5,2,3,1,1,2,2,0,5,52,12790,12790,0,0
120958_2,1,1,45,40,2,0,1,1,0,1,1,14,124,0,0,0,0,1,1,1,2,2,1,2,3,5,2,3,1,1,2,2,0,5,52,12790,12790,0,0
120958_3,2,5,15,30,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,5,2,3,1,1,2,2,0,5,52,<Null>,12790,0,0
123176_1,1,1,55,25,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,3,2,1,1,3,1,1,2,2,0,18,887,1560,1560,0,0
123176_2,1,1,55,25,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,3,1,1,3,1,1,2,2,0,18,887,1560,1560,0,0
123176_3,2,4,20,18,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,1,1,3,1,1,2,2,0,18,887,<Null>,1560,0,0
123464_1,1,1,55,24,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,3,2,1,1,3,1,2,2,2,0,5,958,1560,1560,0,0
123464_2,1,1,55,24,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,3,1,1,3,1,2,2,2,0,5,958,1560,1560,0,0
123464_3,2,4,25,22,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,1,1,3,1,2,2,2,0,5,958,<Null>,1560,0,0
124164_1,1,1,50,55,4,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,3,3,1,3,1,2,2,2,0,1,315,5040,5040,0,0
124164_2,1,1,50,57,4,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,3,2,3,1,3,1,2,2,2,0,1,315,5040,5040,0,0
124164_3,2,4,30,24,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,3,1,3,1,2,2,2,0,1,315,<Null>,5040,0,0
124203_1,1,1,45,108,5,1,1,1,0,1,2,26,0,0,0,0,0,1,1,1,2,2,1,3,2,7,2,3,1,1,2,2,0,2,207,37000,37000,12,2.4
124203_2,1,1,45,105,5,1,1,1,0,1,2,26,0,0,0,0,0,1,1,1,2,2,3,2,3,7,2,3,1,1,2,2,0,2,207,37000,37000,8,1.6
124203_3,2,5,25,33,2,0,1,1,0,2,0,0,0,0,0,0,0,3,1,1,2,2,3,2,2,7,2,3,1,1,2,2,0,2,207,<Null>,37000,4,0.8
124220_1,1,1,45,72,4,0,1,1,0,1,1,15,97,0,0,0,0,1,1,1,2,2,1,2,2,8,2,4,2,1,2,2,0,5,550,42480,42480,7,1.4
124220_2,1,1,45,72,4,0,1,1,0,1,1,15,139,0,0,0,0,1,1,1,2,2,1,2,2,8,2,4,2,1,2,2,0,5,550,42480,42480,6,1.2
124220_3,2,5,25,32,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,1,8,2,4,2,1,2,2,0,5,550,<Null>,42480,1,0.2
124220_4,2,5,25,32,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,8,2,4,2,1,2,2,0,5,550,<Null>,42480,2,0.4
124458_1,1,1,45,42,2,0,1,4,15,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,3,5,2,3,1,2,2,2,0,5,1329,17190,17190,4,0.8
124458_2,1,1,45,57,2,0,1,4,15,1,0,0,0,0,1,15,56,1,1,1,2,2,1,3,2,5,2,3,1,2,2,2,0,5,1329,17190,17190,1,0.2
124458_3,2,5,25,34,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,5,2,3,1,2,2,2,0,5,1329,<Null>,17190,2,0.4
124653_1,1,1,50,25,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,1,1,2,2,0,12,1804,2760,2760,2,0.4
124653_2,1,1,50,25,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,1,1,2,2,0,12,1804,2760,2760,0,0
124653_3,2,4,25,17,2,0,3,1,0,4,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,1,1,2,2,0,12,1804,<Null>,2760,0,0
124653_4,2,4,25,20,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,1,1,2,2,0,12,1804,<Null>,2760,0,0
125862_1,1,1,45,58,4,0,1,1,0,1,0,0,0,0,0,0,0,1,1,2,2,1,1,2,2,8,2,4,2,1,2,2,0,2,424,32110,32110,49,9.8
125862_2,1,1,45,58,4,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,1,1,2,2,8,2,4,2,1,2,2,0,2,424,32110,32110,3,0.6
125862_3,2,5,25,62,2,0,1,3,10,2,0,0,0,0,0,0,0,1,1,3,2,2,3,2,2,8,2,4,2,1,2,2,0,2,424,<Null>,32110,6,1.2
125862_4,2,5,25,62,2,0,1,1,0,2,1,13,83,0,0,0,0,1,1,1,2,2,2,2,2,8,2,4,2,1,2,2,0,2,424,<Null>,32110,10,2
126754_1,1,1,35,57,4,0,1,1,0,1,1,13,100,0,0,0,0,1,1,1,2,2,1,2,2,8,2,4,2,1,2,1,8,28,478,7840,7840,1,0.2
126754_2,1,1,35,55,4,0,1,1,0,1,1,13,100,0,0,0,0,1,1,1,2,2,1,1,2,8,2,4,2,1,2,1,8,28,478,7840,7840,1,0.2
126754_3,2,5,25,28,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,2,2,2,1,2,1,8,2,4,2,1,2,1,8,28,478,<Null>,7840,1,0.2
126754_4,2,1,25,28,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,2,2,2,1,2,2,8,2,4,2,1,2,1,8,28,478,<Null>,7840,4,0.8
126794_1,1,1,35,62,4,0,1,4,14,1,0,0,0,0,0,0,0,1,1,1,2,2,1,3,2,7,2,3,1,1,2,2,0,1,489,7840,7840,1,0.2
126794_2,1,1,35,62,4,0,1,1,0,1,1,13,87,0,0,0,0,1,1,1,2,2,1,2,3,7,2,3,1,1,2,2,0,1,489,7840,7840,1,0.2
126794_3,2,5,25,30,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,2,2,2,1,2,2,7,2,3,1,1,2,2,0,1,489,<Null>,7840,1,0.2
128229_1,1,1,40,40,4,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,3,2,7,2,3,1,1,2,2,0,25,138,7850,7850,0,0
128229_2,1,1,40,40,4,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,3,7,2,3,1,1,2,2,0,25,138,7850,7850,0,0
128229_3,2,5,25,24,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,7,2,3,1,1,2,2,0,25,138,<Null>,7850,1,0.2
128383_1,1,1,35,43,4,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,8,2,4,2,2,2,1,15,33,170,7850,7850,0,0
128383_2,1,1,35,46,4,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,8,2,4,2,2,2,1,15,33,170,7850,7850,0,0
128383_3,2,5,25,26,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,8,2,4,2,2,2,1,15,33,170,<Null>,7850,0,0
128383_4,2,5,25,28,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,8,2,4,2,2,2,1,15,33,170,<Null>,7850,2,0.4
130489_1,1,1,45,73,4,0,1,3,26,1,1,12,112,0,0,0,0,1,1,1,2,2,1,2,3,7,2,3,1,2,2,2,0,13,1275,11020,11020,4,0.8
130489_2,1,1,45,73,4,0,1,3,26,1,0,0,0,0,0,0,0,1,1,1,2,2,1,3,2,7,2,3,1,2,2,2,0,13,1275,11020,11020,3,0.6
130489_3,2,5,25,28,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,7,2,3,1,2,2,2,0,13,1275,<Null>,11020,2,0.4
133031_1,1,1,50,88,4,0,1,2,26,1,1,12,162,-28,1,12,175,1,1,1,2,2,1,2,2,8,2,4,2,1,2,2,0,12,780,17340,17340,5,1
133031_2,1,1,50,88,4,0,1,2,26,1,1,12,109,-28,0,0,0,1,1,1,2,2,1,2,2,8,2,4,2,1,2,2,0,12,780,17340,17340,3,0.6
133031_3,2,5,25,23,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,8,2,4,2,1,2,2,0,12,780,<Null>,17340,9,1.8
133031_4,2,5,25,22,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,8,2,4,2,1,2,2,0,12,780,<Null>,17340,10,2
134193_1,1,1,55,106,5,0,1,2,40,1,1,15,138,0,0,0,0,1,1,1,2,2,1,1,3,7,2,3,1,2,2,2,0,9,386,16050,16050,3,0.6
134193_2,1,1,55,124,5,0,1,2,70,1,0,0,0,0,0,0,0,1,1,1,2,2,1,3,2,7,2,3,1,2,2,2,0,9,386,16050,16050,2,0.4
134193_3,2,5,25,24,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,7,2,3,1,2,2,2,0,9,386,<Null>,16050,3,0.6
140617_1,1,1,50,35,2,0,1,3,9,1,0,0,0,0,0,0,0,1,1,1,2,2,1,3,2,5,2,3,1,1,2,2,0,4,246,14830,14830,2,0.4
140617_2,1,1,50,30,2,0,1,3,6,1,0,0,0,0,0,0,0,1,1,1,2,2,1,1,3,5,2,3,1,1,2,2,0,4,246,14830,14830,2,0.4
140617_3,2,5,25,26,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,5,2,3,1,1,2,2,0,4,246,<Null>,14830,0,0
140904_1,1,1,50,37,2,0,1,1,1,1,1,14,191,0,0,0,0,1,1,1,2,2,1,2,2,6,2,4,2,1,2,1,12,18,399,9250,9250,0,0
140904_2,1,1,50,37,2,0,1,4,15,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,6,2,4,2,1,2,1,12,18,399,9250,9250,0,0
140904_3,2,5,25,62,2,0,1,5,10,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,6,2,4,2,1,2,1,12,18,399,<Null>,9250,0,0
140904_4,2,5,25,28,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,6,2,4,2,1,2,1,12,18,399,<Null>,9250,0,0
141058_1,1,1,45,28,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,6,2,4,1,1,2,1,80,40,524,6430,6430,1,0.2
141058_2,1,1,50,25,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,1,2,6,2,4,1,1,2,1,80,40,524,6430,6430,0,0
141058_3,2,5,25,52,2,0,1,5,8,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,6,2,4,1,1,2,1,80,40,524,<Null>,6430,0,0
141058_4,2,5,25,18,2,0,1,1,0,4,0,0,0,0,0,0,0,1,1,1,2,2,1,2,1,6,2,4,1,1,2,1,80,40,524,<Null>,6430,0,0
142353_1,1,1,45,30,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,3,5,2,3,1,2,2,2,0,4,336,9230,9230,1,0.2
142353_2,1,1,45,27,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,3,2,5,2,3,1,2,2,2,0,4,336,9230,9230,0,0
142353_3,2,5,25,22,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,5,2,3,1,2,2,2,0,4,336,<Null>,9230,3,0.6
143050_1,1,1,55,50,2,0,1,4,14,1,0,0,0,0,1,14,60,1,1,1,2,2,1,2,2,6,2,4,2,2,2,1,15,36,28,9440,9440,2,0.4
143050_2,1,1,55,35,2,0,1,4,14,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,6,2,4,2,2,2,1,15,36,28,9440,9440,9,1.8
143050_3,2,5,25,27,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,6,2,4,2,2,2,1,15,36,28,<Null>,9440,2,0.4
143050_4,2,5,25,35,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,6,2,4,2,2,2,1,15,36,28,<Null>,9440,1,0.2
143134_1,1,1,55,26,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,6,2,4,2,2,2,2,0,3,410,9440,9440,4,0.8
143134_2,1,1,55,25,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,1,6,2,4,2,2,2,2,0,3,410,9440,9440,1,0.2
143134_3,2,5,25,20,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,6,2,4,2,2,2,2,0,3,410,<Null>,9440,3,0.6
143134_4,2,5,25,20,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,6,2,4,2,2,2,2,0,3,410,<Null>,9440,4,0.8
145182_1,1,1,55,25,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,1,2,2,1,4,2,2,1,1,25,33,228,2140,2140,1,0.2
145182_2,1,1,55,25,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,1,1,25,33,228,2140,2140,0,0
145182_3,2,3,25,21,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,1,1,25,33,228,<Null>,2140,2,0.4
145182_4,2,3,25,23,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,1,2,1,4,2,2,1,1,25,33,228,<Null>,2140,0,0
146630_1,1,1,45,50,4,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,3,3,1,3,1,1,1,2,0,5,269,8510,8510,0,0
146630_2,1,1,45,50,4,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,3,2,3,1,3,1,1,1,2,0,5,269,8510,8510,1,0.2
146630_3,2,4,25,25,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,3,1,3,1,1,1,2,0,5,269,<Null>,8510,0,0
147232_1,1,5,70,20,1,0,1,1,0,2,0,0,0,0,0,0,0,1,3,1,2,1,1,2,2,9,2,3,1,2,3,2,0,49,1199,2440,9030,0,0
147232_2,2,1,55,42,2,0,1,2,15,1,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,9,2,3,1,2,3,2,0,49,1199,9030,9030,0,0
147232_3,2,1,55,43,2,0,1,3,18,1,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,9,2,3,1,2,3,2,0,49,1199,9030,9030,0,0
147415_1,1,5,70,23,1,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,1,1,2,2,9,2,3,1,2,2,2,0,1,2520,2360,10090,0,0
147415_2,2,1,55,43,3,0,1,3,6,1,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,9,2,3,1,2,2,2,0,1,2520,10090,10090,0,0
147415_3,2,1,55,43,3,0,1,3,6,1,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,9,2,3,1,2,2,2,0,1,2520,10090,10090,0,0
147429_1,1,1,45,28,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,3,1,1,3,1,1,1,2,0,0,755,2250,2250,0,0
147429_2,1,1,45,28,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,3,2,1,1,3,1,1,1,2,0,0,755,2250,2250,1,0.2
147429_3,2,4,25,22,2,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,1,1,3,1,1,1,2,0,0,755,<Null>,2250,0,0
149655_1,1,1,55,24,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,1,2,0,4,3899,1100,1100,0,0
149655_2,1,1,55,25,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,1,2,0,4,3899,1100,1100,0,0
149655_3,2,4,25,28,2,0,3,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,1,2,0,4,3899,<Null>,1100,0,0
149655_4,2,4,25,25,2,0,3,1,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,1,4,2,2,1,2,0,4,3899,<Null>,1100,0,0
151204_1,1,1,55,25,2,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,2,1,2,3,1,1,3,1,2,1,2,0,2,370,1070,1070,0,0
